index,DateTime,Open,Close,High,Low,Volume,Previous_Close
2454,2018-02-21 12:54:30-05:00,67.44,67.44,67.44,67.44,0,66.95
2455,2018-02-21 12:54:35-05:00,67.44,67.44,67.44,67.44,0,66.95
2456,2018-02-21 12:54:40-05:00,67.46,67.46,67.46,67.46,5,66.95
2457,2018-02-21 12:54:45-05:00,67.46,67.46,67.46,67.46,0,66.95
2458,2018-02-21 12:54:50-05:00,67.46,67.47,67.47,67.46,37,66.95
2459,2018-02-21 12:54:55-05:00,67.47,67.47,67.47,67.47,0,66.95
2460,2018-02-21 12:55:00-05:00,67.47,67.47,67.47,67.47,0,66.95
2461,2018-02-21 12:55:05-05:00,67.47,67.47,67.47,67.47,0,66.95
2462,2018-02-21 12:55:10-05:00,67.47,67.47,67.47,67.47,0,66.95
2463,2018-02-21 12:55:15-05:00,67.47,67.47,67.47,67.47,0,66.95
2464,2018-02-21 12:55:20-05:00,67.47,67.47,67.47,67.47,0,66.95
2465,2018-02-21 12:55:25-05:00,67.47,67.47,67.47,67.47,0,66.95
2466,2018-02-21 12:55:30-05:00,67.47,67.47,67.47,67.47,5,66.95
2467,2018-02-21 12:55:35-05:00,67.47,67.47,67.47,67.47,0,66.95
2468,2018-02-21 12:55:40-05:00,67.47,67.47,67.47,67.47,0,66.95
2469,2018-02-21 12:55:45-05:00,67.47,67.47,67.47,67.47,0,66.95
2470,2018-02-21 12:55:50-05:00,67.47,67.47,67.47,67.47,0,66.95
2471,2018-02-21 12:55:55-05:00,67.47,67.47,67.47,67.47,0,66.95
2472,2018-02-21 12:56:00-05:00,67.47,67.47,67.47,67.47,0,66.95
2473,2018-02-21 12:56:05-05:00,67.47,67.47,67.47,67.47,0,66.95
2474,2018-02-21 12:56:10-05:00,67.47,67.47,67.47,67.47,0,66.95
2475,2018-02-21 12:56:15-05:00,67.47,67.47,67.47,67.47,0,66.95
2476,2018-02-21 12:56:20-05:00,67.47,67.47,67.47,67.47,0,66.95
2477,2018-02-21 12:56:25-05:00,67.47,67.47,67.47,67.47,0,66.95
2478,2018-02-21 12:56:30-05:00,67.47,67.47,67.47,67.47,0,66.95
2479,2018-02-21 12:56:35-05:00,67.47,67.47,67.47,67.47,0,66.95
2480,2018-02-21 12:56:40-05:00,67.51,67.51,67.52,67.51,39,66.95
2481,2018-02-21 12:56:45-05:00,67.52,67.52,67.52,67.52,15,66.95
2482,2018-02-21 12:56:50-05:00,67.51,67.52,67.52,67.51,10,66.95
2483,2018-02-21 12:56:55-05:00,67.52,67.52,67.52,67.52,0,66.95
2484,2018-02-21 12:57:00-05:00,67.52,67.52,67.52,67.52,0,66.95
2485,2018-02-21 12:57:05-05:00,67.52,67.52,67.52,67.52,0,66.95
2486,2018-02-21 12:57:10-05:00,67.51,67.51,67.51,67.51,35,66.95
